Value.date,Value.code,Value.open,Value.high,Value.low,Value.close,Value.change,Value.pctChange,Value.accumulatedVol,Value.accumulatedVal,Value.nmVolume,Value.nmValue,Value.ptVolume,Value.ptValue
2022-06-07,VNINDEX,1285.07,1291.35,1260.92,1291.35,1.34,0.103875,670865494,1.7835E+13,625987600,1.64604E+13,44877894,1.37459E+12
2022-06-06,VNINDEX,1290.04,1302.14,1281.95,1290.01,2.03,0.157611,589884869,1.69421E+13,541562900,1.5299E+13,48321969,1.64307E+12
2022-06-03,VNINDEX,1284.62,1292.78,1276.37,1287.98,-0.64,-0.049666,473812552,1.29124E+13,430601700,1.17121E+13,43210852,1.20027E+12
2022-06-02,VNINDEX,1300.58,1302.66,1283.32,1288.62,-10.9,-0.838771,572548673,1.64639E+13,527625000,1.47815E+13,44923673,1.68235E+12
2022-06-01,VNINDEX,1289.56,1302.25,1286.01,1299.52,6.84,0.529133,573626950,1.60492E+13,505619500,1.38554E+13,68007450,2.19379E+12
2022-05-31,VNINDEX,1288.63,1297.64,1280.44,1292.68,-1.24,-0.095833,591086248,1.61084E+13,543596100,1.42873E+13,47490148,1.82112E+12
2022-05-30,VNINDEX,1290.11,1296.22,1281.27,1293.92,8.47,0.658913,587227695,1.64962E+13,499452600,1.27578E+13,87775095,3.73845E+12
2022-05-27,VNINDEX,1270.56,1286.99,1269.29,1285.45,16.88,1.330632,607222200,1.60912E+13,578174500,1.5105E+13,29047700,9.86112E+11
2022-05-26,VNINDEX,1273.8,1278.11,1261.55,1268.57,0.14,0.011037,541907363,1.3766E+13,514352700,1.29911E+13,27554663,7.74866E+11
2022-05-25,VNINDEX,1238.52,1268.43,1234.17,1268.43,35.05,2.841784,655242873,1.65742E+13,616951500,1.57757E+13,38291373,7.98535E+11
2022-05-24,VNINDEX,1218.87,1233.38,1203.28,1233.38,14.57,1.195428,528478597,1.34159E+13,479498700,1.20568E+13,48979897,1.35903E+12
2022-05-23,VNINDEX,1246.56,1246.58,1207.99,1218.81,-21.9,-1.765118,557426453,1.33326E+13,488979100,1.20353E+13,68447353,1.29733E+12
2022-05-20,VNINDEX,1240.72,1252.96,1232.33,1240.71,-0.93,-0.074901,504691537,1.246E+13,465793600,1.15265E+13,38897937,9.33515E+11
2022-05-19,VNINDEX,1211.31,1246.66,1210.43,1241.64,0.88,0.070924,496732680,1.27949E+13,459858400,1.16275E+13,36874280,1.16743E+12
2022-05-18,VNINDEX,1240.06,1249.84,1222.92,1240.76,12.39,1.008654,566363565,1.38405E+13,514538800,1.29674E+13,51824765,8.73054E+11
2022-05-17,VNINDEX,1164.32,1228.37,1156.54,1228.37,56.42,4.814199,583955805,1.42973E+13,542868100,1.32604E+13,41087705,1.03684E+12
2022-05-16,VNINDEX,1208.05,1215.96,1170.59,1171.95,-10.82,-0.914802,584388589,1.45779E+13,551353400,1.37534E+13,33035189,8.24558E+11
2022-05-13,VNINDEX,1235.03,1237.8,1180.6,1182.77,-56.07,-4.526008,816985543,2.03658E+13,736096200,1.83888E+13,80889343,1.97701E+12
2022-05-12,VNINDEX,1290.4,1291.65,1238.05,1238.84,-62.69,-4.816639,557892302,1.57759E+13,516642600,1.4003E+13,41249702,1.77285E+12
2022-05-11,VNINDEX,1295.39,1305.17,1277.91,1301.53,7.97,0.616129,418232360,1.15198E+13,380880400,1.02936E+13,37351960,1.22622E+12
2022-05-10,VNINDEX,1240.93,1293.56,1232.57,1293.56,23.94,1.885604,665476883,1.77891E+13,600766800,1.6097E+13,64710083,1.69211E+12
2022-05-09,VNINDEX,1313.49,1314.52,1265.54,1269.62,-59.64,-4.486707,673760714,1.87683E+13,627609200,1.71434E+13,46151514,1.62486E+12
2022-05-06,VNINDEX,1333.55,1353.48,1328.13,1329.26,-31.42,-2.30914,564072624,1.70011E+13,510678900,1.47922E+13,53393724,2.20892E+12
2022-05-05,VNINDEX,1361.62,1362.18,1331.41,1360.68,12,0.889759,531075073,1.5361E+13,510234300,1.44306E+13,20840773,9.30387E+11
2022-05-04,VNINDEX,1366.11,1366.39,1348.68,1348.68,-18.12,-1.325724,528291808,1.44546E+13,498884800,1.34909E+13,29407008,9.6372E+11
2022-04-29,VNINDEX,1347.08,1369.31,1343.24,1366.8,15.81,1.170253,598401937,1.87674E+13,532838100,1.54193E+13,65563837,3.34816E+12
2022-04-28,VNINDEX,1353.71,1358.07,1344.1,1350.99,-2.78,-0.205352,485123186,1.33087E+13,458334600,1.22612E+13,26788586,1.04758E+12
2022-04-27,VNINDEX,1340.07,1355.92,1314.81,1353.77,12.43,0.926685,519955426,1.45875E+13,485406800,1.30179E+13,34548626,1.56966E+12
