Currency,Date,Closing Price (VND),Open (VND),High (VND),Low (VND),,,
VNINDEX,4/3/2015,547.85,548.69,550.3,544.22,,,
VNINDEX,4/6/2015,542.97,548.11,549.28,542.97,,,
VNINDEX,4/7/2015,548.11,542.71,548.37,540.79,,,
VNINDEX,4/8/2015,547.72,549.69,551.23,546.29,,,
VNINDEX,4/9/2015,550.52,547.26,552.53,546.76,,,
VNINDEX,4/10/2015,554.03,550.96,557.65,550.96,,,
VNINDEX,4/13/2015,559.54,556.35,559.68,555.97,,,
VNINDEX,4/14/2015,558.67,559.81,562.95,558.49,,,
VNINDEX,4/15/2015,564.5,558.94,565.39,558.94,,,
VNINDEX,4/16/2015,568.28,564.5,570.68,564.5,,,
VNINDEX,4/17/2015,568.32,568.28,572.76,568.28,,,
VNINDEX,4/20/2015,565.04,568.52,568.83,562.66,,,
VNINDEX,4/21/2015,562.24,563.78,567.52,562.24,,,
VNINDEX,4/22/2015,562.51,562.58,565.04,561.53,,,
VNINDEX,4/23/2015,561.25,562.85,564.45,557.57,,,
VNINDEX,4/24/2015,565.77,563.17,567.36,561.56,,,
VNINDEX,4/27/2015,562.4,567.77,568.47,562.4,,,
VNINDEX,5/4/2015,545.08,560.62,563.36,545.08,,,
VNINDEX,5/5/2015,552.65,544.8,552.65,539.04,,,
VNINDEX,5/6/2015,549.3,553.3,555.51,548.17,,,
VNINDEX,5/7/2015,552.98,548.51,554.22,547.53,,,
VNINDEX,5/8/2015,554.51,551.57,556.39,550.93,,,
VNINDEX,5/11/2015,551.67,554.5,556.2,550.57,,,
VNINDEX,5/12/2015,544.41,551.98,552.56,542.7,,,
VNINDEX,5/13/2015,542.82,545.5,546.99,538.76,,,
VNINDEX,5/14/2015,543.69,542.53,545,540.72,,,
VNINDEX,5/15/2015,537.44,543.61,545.48,537.44,,,
VNINDEX,5/18/2015,528.95,535.82,536.71,528.9,,,
VNINDEX,5/19/2015,536.82,530,537.19,530,,,
VNINDEX,5/20/2015,550.1,536.35,550.33,536.07,,,
VNINDEX,5/21/2015,552.56,550.99,554,547.95,,,
VNINDEX,5/22/2015,561.82,553.41,561.82,550.81,,,
VNINDEX,5/25/2015,563,560.8,563.84,558.5,,,
VNINDEX,5/26/2015,567.2,563.31,570.29,562.58,,,
VNINDEX,5/27/2015,566.48,564.64,569.63,563.28,,,
VNINDEX,5/28/2015,572.97,566.13,576.92,564.73,,,
VNINDEX,5/29/2015,569.56,572.73,577.03,568.7,,,
VNINDEX,6/1/2015,574.98,571.15,579.58,570.14,,,
VNINDEX,6/2/2015,570.31,575.7,581.24,570.31,,,
VNINDEX,6/3/2015,567.9,570.55,573.91,567.81,,,
VNINDEX,6/4/2015,568.99,568.01,573.5,567.89,,,
VNINDEX,6/5/2015,578.07,568.63,579.01,568.37,,,
VNINDEX,6/8/2015,579.83,580.74,585.51,579.45,,,
VNINDEX,6/9/2015,574.47,578.68,582.13,573.73,,,
VNINDEX,6/10/2015,574.1,576.06,576.62,569.59,,,
VNINDEX,6/11/2015,581.05,577.32,582.68,575.25,,,
VNINDEX,6/12/2015,582.73,582.54,585.01,578.8,,,
VNINDEX,6/15/2015,586.48,583.51,586.67,581.35,,,
VNINDEX,6/16/2015,580.35,587.76,589.33,580.35,,,
VNINDEX,6/17/2015,578.87,578.53,584.04,575.88,,,
VNINDEX,6/18/2015,580.35,578.73,583.02,578.47,,,
VNINDEX,6/19/2015,584.7,584.08,588.48,582.47,,,
VNINDEX,6/22/2015,594.08,588.33,594.08,588.01,,,
VNINDEX,6/23/2015,593.07,592.44,595.11,590.76,,,
VNINDEX,6/24/2015,590.02,592.19,594.01,589.02,,,
VNINDEX,6/25/2015,587.99,589.29,590.37,585.34,,,
